subject,day,latency,group
1,0,49.575,1
1,1,28.275,1
1,2,32.35,1
1,3,38.325,1
1,4,29.175,1
1,5,27.6,1
1,6,15.2,1
1,7,35.575,1
2,0,45.25,1
2,1,37.25,1
2,2,24.35,1
2,3,20.85,1
2,4,8.125,1
2,5,27.15,1
2,6,9.45,1
2,7,17.725,1
3,0,25.425,1
3,1,12.375,1
3,2,29.225,1
3,3,20.05,1
3,4,20.05,1
3,5,13.275,1
3,6,25.2,1
3,7,9.475,1
4,0,48.2,1
4,1,16.8,1
4,2,34.275,1
4,3,16.9,1
4,4,36.9,1
4,5,34.7,1
4,6,25.125,1
4,7,15.225,1
5,0,45.375,1
5,1,25.175,1
5,2,22.3,1
5,3,11.125,1
5,4,23.975,1
5,5,13.2,1
5,6,20.925,1
5,7,8.975,1
6,0,44.4,1
6,1,25.95,1
6,2,49.5,1
6,3,38.025,1
6,4,34.25,1
6,5,38.775,1
6,6,18.95,1
6,7,27.65,1
7,0,41.95,1
7,1,35.5,1
7,2,36.15,1
7,3,45.2,1
7,4,26.95,1
7,5,31.2,1
7,6,11.975,1
7,7,24.65,1
8,0,41.05,1
8,1,35.35,1
8,2,43.775,1
8,3,14.125,1
8,4,31.35,1
8,5,11.7,1
8,6,7.375,1
8,7,16.2,1
9,0,40.675,1
9,1,17.225,1
9,2,29.8,1
9,3,41.075,1
9,4,20.3,1
9,5,12.55,1
9,6,27.775,1
9,7,30.65,1
10,0,29.2,2
10,1,48.425,2
10,2,33.725,2
10,3,44.075,2
10,4,31.525,2
10,5,30.6,2
10,6,22.05,2
10,7,46.025,2
11,0,51.775,2
11,1,49.625,2
11,2,46.65,2
11,3,52.65,2
11,4,32.35,2
11,5,14.4,2
11,6,38.275,2
11,7,27.275,2
12,0,52,2
12,1,28.175,2
12,2,36.25,2
12,3,30.725,2
12,4,26.275,2
12,5,28,2
12,6,36.6,2
12,7,16.85,2
13,0,45.875,2
13,1,46.7,2
13,2,22.475,2
13,3,39.325,2
13,4,44.85,2
13,5,36.125,2
13,6,22.6,2
13,7,34.625,2
14,0,59,2
14,1,28.675,2
14,2,35.825,2
14,3,34.8,2
14,4,21.75,2
14,5,22.775,2
14,6,24.05,2
14,7,32.075,2
15,0,60,2
15,1,30.625,2
15,2,58.15,2
15,3,51.5,2
15,4,36.925,2
15,5,42.25,2
15,6,32.4,2
15,7,22.775,2
16,0,44.075,2
16,1,42.85,2
16,2,37.3,2
16,3,48.25,2
16,4,21.275,2
16,5,16.45,2
16,6,15.975,2
16,7,19.85,2
17,0,53.575,2
17,1,56.125,2
17,2,30.925,2
17,3,35.925,2
17,4,41.525,2
17,5,48.85,2
17,6,20.775,2
17,7,20.075,2
18,0,42.2,2
18,1,22.375,2
18,2,32.15,2
18,3,47.625,2
18,4,25.9,2
18,5,8.8,2
18,6,12.95,2
18,7,21.3,2
19,0,46.75,2
19,1,40.725,2
19,2,42.025,2
19,3,37.975,2
19,4,33.875,2
19,5,19.85,2
19,6,48.5,2
19,7,30.3,2
20,0,46.25,2
20,1,30.4,2
20,2,38.35,2
20,3,27.225,2
20,4,44.3,2
20,5,41.4,2
20,6,41.025,2
20,7,43.45,2
21,0,39.875,2
21,1,31.225,2
21,2,31.775,2
21,3,33.2,2
21,4,57.575,2
21,5,39.075,2
21,6,34.95,2
21,7,11.875,2
