subject,day,latency,group
1,0,43.325,1
1,1,25.5,1
1,2,16.675,1
1,3,46.7,1
1,4,39.3,1
1,5,18.075,1
1,6,26.6,1
1,7,34.9,1
2,0,60,1
2,1,30.675,1
2,2,36.125,1
2,3,30.75,1
2,4,17.2,1
2,5,10.8,1
2,6,7.625,1
2,7,18.275,1
3,0,46.875,1
3,1,24.675,1
3,2,28.375,1
3,3,45.375,1
3,4,10.4,1
3,5,18.4,1
3,6,9.925,1
3,7,12.95,1
4,0,47.4,1
4,1,25.675,1
4,2,12.175,1
4,3,9.875,1
4,4,18.575,1
4,5,15.275,1
4,6,7.425,1
4,7,9.925,1
5,0,32.275,1
5,1,47.45,1
5,2,18.075,1
5,3,10.5,1
5,4,9.5,1
5,5,10.15,1
5,6,7.975,1
5,7,8.65,1
6,0,47.65,1
6,1,52.225,1
6,2,30.775,1
6,3,27.475,1
6,4,11.275,1
6,5,16.3,1
6,6,12.7,1
6,7,10.075,1
7,0,21.85,1
7,1,31.1,1
7,2,10.475,1
7,3,18.3,1
7,4,11,1
7,5,12.775,1
7,6,12.25,1
7,7,15.325,1
8,0,59.825,1
8,1,35.575,1
8,2,22.275,1
8,3,15.6,1
8,4,6.375,1
8,5,10.825,1
8,6,13,1
8,7,8.225,1
9,0,48.25,1
9,1,18.925,1
9,2,17,1
9,3,14.75,1
9,4,9.05,1
9,5,7.6,1
9,6,8.6,1
9,7,5.975,1
10,0,48.575,1
10,1,20.3,1
10,2,35.6,1
10,3,24.025,1
10,4,32.3,1
10,5,21.25,1
10,6,15.8,1
10,7,13.675,1
11,0,44.4,1
11,1,11.8,1
11,2,17,1
11,3,37.15,1
11,4,14.875,1
11,5,16.05,1
11,6,23.925,1
11,7,15.3,1
12,0,59.5,2
12,1,45.775,2
12,2,14.225,2
12,3,16.125,2
12,4,16.625,2
12,5,10.9,2
12,6,19.3,2
12,7,20.95,2
13,0,36.275,2
13,1,41.425,2
13,2,46.15,2
13,3,26.725,2
13,4,24.55,2
13,5,9.725,2
13,6,22.35,2
13,7,36.075,2
14,0,34.275,2
14,1,49.925,2
14,2,23.225,2
14,3,26.025,2
14,4,17.625,2
14,5,17.975,2
14,6,12.275,2
14,7,14.125,2
15,0,44.25,2
15,1,16.2,2
15,2,39.05,2
15,3,29.475,2
15,4,29.475,2
15,5,12.05,2
15,6,9.475,2
15,7,28.125,2
16,0,42.175,2
16,1,50.875,2
16,2,36.6,2
16,3,19.975,2
16,4,21.2,2
16,5,22.775,2
16,6,14.025,2
16,7,20.05,2
17,0,60,2
17,1,31.5,2
17,2,40.275,2
17,3,20.475,2
17,4,34.975,2
17,5,14.125,2
17,6,14.4,2
17,7,26.6,2
18,0,52.925,2
18,1,31.1,2
18,2,16.2,2
18,3,32.225,2
18,4,18.575,2
18,5,17.95,2
18,6,24.475,2
18,7,28.725,2
19,0,60,2
19,1,36.525,2
19,2,41.35,2
19,3,43.125,2
19,4,34.15,2
19,5,17.325,2
19,6,11.125,2
19,7,8.6,2
20,0,60,2
20,1,45.2,2
20,2,30.65,2
20,3,11.25,2
20,4,10.075,2
20,5,33.725,2
20,6,9.85,2
20,7,6,2
21,0,50.95,2
21,1,29.375,2
21,2,30.425,2
21,3,43.85,2
21,4,32.7,2
21,5,20.025,2
21,6,13.9,2
21,7,11.525,2
22,0,49.075,2
22,1,44.225,2
22,2,46.05,2
22,3,21.95,2
22,4,28.175,2
22,5,12.925,2
22,6,14.45,2
22,7,15.75,2
23,0,60,2
23,1,39.75,2
23,2,39.225,2
23,3,18.45,2
23,4,9.775,2
23,5,18.775,2
23,6,27.175,2
23,7,21.6,2
