subject,day,latency,group,age
1,0,43.325,1,1
1,1,25.5,1,1
1,2,16.675,1,1
1,3,46.7,1,1
1,4,39.3,1,1
1,5,18.075,1,1
1,6,26.6,1,1
1,7,34.9,1,1
2,0,60,1,1
2,1,30.675,1,1
2,2,36.125,1,1
2,3,30.75,1,1
2,4,17.2,1,1
2,5,10.8,1,1
2,6,7.625,1,1
2,7,18.275,1,1
3,0,46.875,1,1
3,1,24.675,1,1
3,2,28.375,1,1
3,3,45.375,1,1
3,4,10.4,1,1
3,5,18.4,1,1
3,6,9.925,1,1
3,7,12.95,1,1
4,0,47.4,1,1
4,1,25.675,1,1
4,2,12.175,1,1
4,3,9.875,1,1
4,4,18.575,1,1
4,5,15.275,1,1
4,6,7.425,1,1
4,7,9.925,1,1
5,0,32.275,1,1
5,1,47.45,1,1
5,2,18.075,1,1
5,3,10.5,1,1
5,4,9.5,1,1
5,5,10.15,1,1
5,6,7.975,1,1
5,7,8.65,1,1
6,0,47.65,1,1
6,1,52.225,1,1
6,2,30.775,1,1
6,3,27.475,1,1
6,4,11.275,1,1
6,5,16.3,1,1
6,6,12.7,1,1
6,7,10.075,1,1
7,0,21.85,1,1
7,1,31.1,1,1
7,2,10.475,1,1
7,3,18.3,1,1
7,4,11,1,1
7,5,12.775,1,1
7,6,12.25,1,1
7,7,15.325,1,1
8,0,59.825,1,1
8,1,35.575,1,1
8,2,22.275,1,1
8,3,15.6,1,1
8,4,6.375,1,1
8,5,10.825,1,1
8,6,13,1,1
8,7,8.225,1,1
9,0,48.25,1,1
9,1,18.925,1,1
9,2,17,1,1
9,3,14.75,1,1
9,4,9.05,1,1
9,5,7.6,1,1
9,6,8.6,1,1
9,7,5.975,1,1
10,0,48.575,1,1
10,1,20.3,1,1
10,2,35.6,1,1
10,3,24.025,1,1
10,4,32.3,1,1
10,5,21.25,1,1
10,6,15.8,1,1
10,7,13.675,1,1
11,0,44.4,1,1
11,1,11.8,1,1
11,2,17,1,1
11,3,37.15,1,1
11,4,14.875,1,1
11,5,16.05,1,1
11,6,23.925,1,1
11,7,15.3,1,1
12,0,59.5,2,1
12,1,45.775,2,1
12,2,14.225,2,1
12,3,16.125,2,1
12,4,16.625,2,1
12,5,10.9,2,1
12,6,19.3,2,1
12,7,20.95,2,1
13,0,36.275,2,1
13,1,41.425,2,1
13,2,46.15,2,1
13,3,26.725,2,1
13,4,24.55,2,1
13,5,9.725,2,1
13,6,22.35,2,1
13,7,36.075,2,1
14,0,34.275,2,1
14,1,49.925,2,1
14,2,23.225,2,1
14,3,26.025,2,1
14,4,17.625,2,1
14,5,17.975,2,1
14,6,12.275,2,1
14,7,14.125,2,1
15,0,44.25,2,1
15,1,16.2,2,1
15,2,39.05,2,1
15,3,29.475,2,1
15,4,29.475,2,1
15,5,12.05,2,1
15,6,9.475,2,1
15,7,28.125,2,1
16,0,42.175,2,1
16,1,50.875,2,1
16,2,36.6,2,1
16,3,19.975,2,1
16,4,21.2,2,1
16,5,22.775,2,1
16,6,14.025,2,1
16,7,20.05,2,1
17,0,60,2,1
17,1,31.5,2,1
17,2,40.275,2,1
17,3,20.475,2,1
17,4,34.975,2,1
17,5,14.125,2,1
17,6,14.4,2,1
17,7,26.6,2,1
18,0,52.925,2,1
18,1,31.1,2,1
18,2,16.2,2,1
18,3,32.225,2,1
18,4,18.575,2,1
18,5,17.95,2,1
18,6,24.475,2,1
18,7,28.725,2,1
19,0,60,2,1
19,1,36.525,2,1
19,2,41.35,2,1
19,3,43.125,2,1
19,4,34.15,2,1
19,5,17.325,2,1
19,6,11.125,2,1
19,7,8.6,2,1
20,0,60,2,1
20,1,45.2,2,1
20,2,30.65,2,1
20,3,11.25,2,1
20,4,10.075,2,1
20,5,33.725,2,1
20,6,9.85,2,1
20,7,6,2,1
21,0,50.95,2,1
21,1,29.375,2,1
21,2,30.425,2,1
21,3,43.85,2,1
21,4,32.7,2,1
21,5,20.025,2,1
21,6,13.9,2,1
21,7,11.525,2,1
22,0,49.075,2,1
22,1,44.225,2,1
22,2,46.05,2,1
22,3,21.95,2,1
22,4,28.175,2,1
22,5,12.925,2,1
22,6,14.45,2,1
22,7,15.75,2,1
23,0,60,2,1
23,1,39.75,2,1
23,2,39.225,2,1
23,3,18.45,2,1
23,4,9.775,2,1
23,5,18.775,2,1
23,6,27.175,2,1
23,7,21.6,2,1
1,0,49.575,1,2
1,1,28.275,1,2
1,2,32.35,1,2
1,3,38.325,1,2
1,4,29.175,1,2
1,5,27.6,1,2
1,6,15.2,1,2
1,7,35.575,1,2
2,0,45.25,1,2
2,1,37.25,1,2
2,2,24.35,1,2
2,3,20.85,1,2
2,4,8.125,1,2
2,5,27.15,1,2
2,6,9.45,1,2
2,7,17.725,1,2
3,0,25.425,1,2
3,1,12.375,1,2
3,2,29.225,1,2
3,3,20.05,1,2
3,4,20.05,1,2
3,5,13.275,1,2
3,6,25.2,1,2
3,7,9.475,1,2
4,0,48.2,1,2
4,1,16.8,1,2
4,2,34.275,1,2
4,3,16.9,1,2
4,4,36.9,1,2
4,5,34.7,1,2
4,6,25.125,1,2
4,7,15.225,1,2
5,0,45.375,1,2
5,1,25.175,1,2
5,2,22.3,1,2
5,3,11.125,1,2
5,4,23.975,1,2
5,5,13.2,1,2
5,6,20.925,1,2
5,7,8.975,1,2
6,0,44.4,1,2
6,1,25.95,1,2
6,2,49.5,1,2
6,3,38.025,1,2
6,4,34.25,1,2
6,5,38.775,1,2
6,6,18.95,1,2
6,7,27.65,1,2
7,0,41.95,1,2
7,1,35.5,1,2
7,2,36.15,1,2
7,3,45.2,1,2
7,4,26.95,1,2
7,5,31.2,1,2
7,6,11.975,1,2
7,7,24.65,1,2
8,0,41.05,1,2
8,1,35.35,1,2
8,2,43.775,1,2
8,3,14.125,1,2
8,4,31.35,1,2
8,5,11.7,1,2
8,6,7.375,1,2
8,7,16.2,1,2
9,0,40.675,1,2
9,1,17.225,1,2
9,2,29.8,1,2
9,3,41.075,1,2
9,4,20.3,1,2
9,5,12.55,1,2
9,6,27.775,1,2
9,7,30.65,1,2
10,0,29.2,2,2
10,1,48.425,2,2
10,2,33.725,2,2
10,3,44.075,2,2
10,4,31.525,2,2
10,5,30.6,2,2
10,6,22.05,2,2
10,7,46.025,2,2
11,0,51.775,2,2
11,1,49.625,2,2
11,2,46.65,2,2
11,3,52.65,2,2
11,4,32.35,2,2
11,5,14.4,2,2
11,6,38.275,2,2
11,7,27.275,2,2
12,0,52,2,2
12,1,28.175,2,2
12,2,36.25,2,2
12,3,30.725,2,2
12,4,26.275,2,2
12,5,28,2,2
12,6,36.6,2,2
12,7,16.85,2,2
13,0,45.875,2,2
13,1,46.7,2,2
13,2,22.475,2,2
13,3,39.325,2,2
13,4,44.85,2,2
13,5,36.125,2,2
13,6,22.6,2,2
13,7,34.625,2,2
14,0,59,2,2
14,1,28.675,2,2
14,2,35.825,2,2
14,3,34.8,2,2
14,4,21.75,2,2
14,5,22.775,2,2
14,6,24.05,2,2
14,7,32.075,2,2
15,0,60,2,2
15,1,30.625,2,2
15,2,58.15,2,2
15,3,51.5,2,2
15,4,36.925,2,2
15,5,42.25,2,2
15,6,32.4,2,2
15,7,22.775,2,2
16,0,44.075,2,2
16,1,42.85,2,2
16,2,37.3,2,2
16,3,48.25,2,2
16,4,21.275,2,2
16,5,16.45,2,2
16,6,15.975,2,2
16,7,19.85,2,2
17,0,53.575,2,2
17,1,56.125,2,2
17,2,30.925,2,2
17,3,35.925,2,2
17,4,41.525,2,2
17,5,48.85,2,2
17,6,20.775,2,2
17,7,20.075,2,2
18,0,42.2,2,2
18,1,22.375,2,2
18,2,32.15,2,2
18,3,47.625,2,2
18,4,25.9,2,2
18,5,8.8,2,2
18,6,12.95,2,2
18,7,21.3,2,2
19,0,46.75,2,2
19,1,40.725,2,2
19,2,42.025,2,2
19,3,37.975,2,2
19,4,33.875,2,2
19,5,19.85,2,2
19,6,48.5,2,2
19,7,30.3,2,2
20,0,46.25,2,2
20,1,30.4,2,2
20,2,38.35,2,2
20,3,27.225,2,2
20,4,44.3,2,2
20,5,41.4,2,2
20,6,41.025,2,2
20,7,43.45,2,2
21,0,39.875,2,2
21,1,31.225,2,2
21,2,31.775,2,2
21,3,33.2,2,2
21,4,57.575,2,2
21,5,39.075,2,2
21,6,34.95,2,2
21,7,11.875,2,2
